"Restaurant Depot #39",,"Customer #3900367"
"1477 Helm Dr",,"GAYLORD RESTAURANT(only ege , manpreet can shop)"
"Las Vegas, NV 89119",,"3700,W FLAMINGO RD"
"(702) 260-4100",,"LAS VEGAS, NV 891034043"

"Invoice: 3412","Terminal: 19","2026/06/01 9:58 am"
UPC,Description,"Unit Qty","Case Qty",Price
-2,"Previous Balance",0,0,$0.00
64612790014,"PDU GINGER FR 5LBS       ",1,0,$7.46
84046513269,"PD MICRO FWR ORCHD       ",1,0,$9.68
84046511762,"PD MICRO SLD RNBOW       ",1,0,$12.89
81008518222,"PDU PPR SERRANO 5#       ",1,0,$12.84
2060042647,"PD HRB MINT              ",1,0,$5.63
2060042647,"PD HRB MINT              ",1,0,$5.63
76069500575,"YOGURT PLN JF 32#        ",1,0,$37.89
76069500575,"YOGURT PLN JF 32#        ",1,0,$37.89
2060044146,"PD GARLIC PEELED         ",0,1,$79.88
76069501661,"FOIL ROLL 18X500HV       ",1,0,$56.37
7127035817,"CHZ PANEER LOAF    5#    ",0,1,$86.67
76069503004,"KIT PS BLK 5PC           ",1,0,$18.98
74069569998,"PD CAUL 1CT              ",0,1,$28.76
4900005846,"COKE CLASSIC       12Z   ",1,0,$21.29
4900005847,"DIET COKE          12Z   ",1,0,$21.81
4900005848,"SPRITE             12Z   ",1,0,$21.34
76069533507,"CONT SOUP CMB 16Z        ",1,0,$34.37
76069533505,"CONT SOUP CMB 8Z         ",1,0,$28.35
7959448980,"BAG BRN SOS 1/6 57       ",1,0,$55.22
20776700000,"CHX LEG QTR SML          ",40,0,$31.60
20776700000,"CHX LEG QTR SML          ",40,0,$31.60
885161310170,"COCONUT MILK AROYD 13.5Z ",0,1,$43.02
76069533791,"CONT REC BLK 24Z         ",1,0,$33.66
76069502007,"FZ VEG BROC FLORET 12/2LB",0,1,$23.77
2060042708,"PD PPR BELL GREEN        ",1,0,$37.53
2060035413,"PD CUCUMBER SEL 72       ",1,0,$20.18
74504200010,"BASMATI CHEF SECRT 40LB  ",1,0,$46.95
74504200010,"BASMATI CHEF SECRT 40LB  ",1,0,$46.95
0,Sub-Total,0,0,$898.21
0,Tax,0,0,$19.01
0,Total,0,0,$917.22
0,"MC/VISA 4335",0,0,$917.22
0,Balance,0,0,$0.00
